Nama Provinsi,Nama Kabupaten Kota,Kelompok Umur,Jenis Kelamin,Jumlah Kasus,Tahun
JAWA BARAT,KABUPATEN TASIKMALAYA,20-24,LAKI-LAKI,11,2019
JAWA BARAT,KABUPATEN TASIKMALAYA,20-24,PEREMPUAN,6,2019
JAWA BARAT,KABUPATEN TASIKMALAYA,25-49,LAKI-LAKI,37,2019
JAWA BARAT,KABUPATEN TASIKMALAYA,25-49,PEREMPUAN,17,2019
JAWA BARAT,KABUPATEN TASIKMALAYA,≥50,LAKI-LAKI,2,2019
JAWA BARAT,KABUPATEN TASIKMALAYA,≥50,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN CIAMIS,0-4,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN CIAMIS,0-4,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN CIAMIS,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN CIAMIS,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN CIAMIS,15-19,LAKI-LAKI,2,2019
JAWA BARAT,KABUPATEN CIAMIS,15-19,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN CIAMIS,20-24,LAKI-LAKI,14,2019
JAWA BARAT,KABUPATEN CIAMIS,20-24,PEREMPUAN,6,2019
JAWA BARAT,KABUPATEN CIAMIS,25-49,LAKI-LAKI,44,2019
JAWA BARAT,KABUPATEN CIAMIS,25-49,PEREMPUAN,22,2019
JAWA BARAT,KABUPATEN CIAMIS,≥50,LAKI-LAKI,4,2019
JAWA BARAT,KABUPATEN CIAMIS,≥50,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN KUNINGAN,0-4,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN KUNINGAN,0-4,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN KUNINGAN,5-14,LAKI-LAKI,5,2019
JAWA BARAT,KABUPATEN KUNINGAN,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN KUNINGAN,15-19,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN KUNINGAN,15-19,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN KUNINGAN,20-24,LAKI-LAKI,7,2019
JAWA BARAT,KABUPATEN KUNINGAN,20-24,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN KUNINGAN,25-49,LAKI-LAKI,48,2019
JAWA BARAT,KABUPATEN KUNINGAN,25-49,PEREMPUAN,21,2019
JAWA BARAT,KABUPATEN KUNINGAN,≥50,LAKI-LAKI,5,2019
JAWA BARAT,KABUPATEN KUNINGAN,≥50,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN CIREBON,0-4,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN CIREBON,0-4,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN CIREBON,5-14,LAKI-LAKI,2,2019
JAWA BARAT,KABUPATEN CIREBON,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN CIREBON,15-19,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN CIREBON,15-19,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN CIREBON,20-24,LAKI-LAKI,17,2019
JAWA BARAT,KABUPATEN CIREBON,20-24,PEREMPUAN,8,2019
JAWA BARAT,KABUPATEN CIREBON,25-49,LAKI-LAKI,133,2019
JAWA BARAT,KABUPATEN CIREBON,25-49,PEREMPUAN,73,2019
JAWA BARAT,KABUPATEN CIREBON,≥50,LAKI-LAKI,17,2019
JAWA BARAT,KABUPATEN CIREBON,≥50,PEREMPUAN,4,2019
JAWA BARAT,KABUPATEN MAJALENGKA,0-4,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN MAJALENGKA,0-4,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN MAJALENGKA,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN MAJALENGKA,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN MAJALENGKA,15-19,LAKI-LAKI,2,2019
JAWA BARAT,KABUPATEN MAJALENGKA,15-19,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN MAJALENGKA,20-24,LAKI-LAKI,14,2019
JAWA BARAT,KABUPATEN MAJALENGKA,20-24,PEREMPUAN,5,2019
JAWA BARAT,KABUPATEN MAJALENGKA,25-49,LAKI-LAKI,51,2019
JAWA BARAT,KABUPATEN MAJALENGKA,25-49,PEREMPUAN,21,2019
JAWA BARAT,KABUPATEN MAJALENGKA,≥50,LAKI-LAKI,3,2019
JAWA BARAT,KABUPATEN MAJALENGKA,≥50,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN SUMEDANG,0-4,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN SUMEDANG,0-4,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN SUMEDANG,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN SUMEDANG,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN SUMEDANG,15-19,LAKI-LAKI,3,2019
JAWA BARAT,KABUPATEN SUMEDANG,15-19,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN SUMEDANG,20-24,LAKI-LAKI,15,2019
JAWA BARAT,KABUPATEN SUMEDANG,20-24,PEREMPUAN,10,2019
JAWA BARAT,KABUPATEN SUMEDANG,25-49,LAKI-LAKI,46,2019
JAWA BARAT,KABUPATEN SUMEDANG,25-49,PEREMPUAN,28,2019
JAWA BARAT,KABUPATEN SUMEDANG,≥50,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN SUMEDANG,≥50,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN INDRAMAYU,0-4,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN INDRAMAYU,0-4,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN INDRAMAYU,5-14,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN INDRAMAYU,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN INDRAMAYU,15-19,LAKI-LAKI,3,2019
JAWA BARAT,KABUPATEN INDRAMAYU,15-19,PEREMPUAN,5,2019
JAWA BARAT,KABUPATEN INDRAMAYU,20-24,LAKI-LAKI,26,2019
JAWA BARAT,KABUPATEN INDRAMAYU,20-24,PEREMPUAN,13,2019
JAWA BARAT,KABUPATEN INDRAMAYU,25-49,LAKI-LAKI,50,2019
JAWA BARAT,KABUPATEN INDRAMAYU,25-49,PEREMPUAN,48,2019
JAWA BARAT,KABUPATEN INDRAMAYU,≥50,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN INDRAMAYU,≥50,PEREMPUAN,3,2019
JAWA BARAT,KABUPATEN SUBANG,0-4,LAKI-LAKI,84,2019
JAWA BARAT,KABUPATEN SUBANG,0-4,PEREMPUAN,65,2019
JAWA BARAT,KABUPATEN SUBANG,5-14,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN SUBANG,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN SUBANG,15-19,LAKI-LAKI,6,2019
JAWA BARAT,KABUPATEN SUBANG,15-19,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN SUBANG,20-24,LAKI-LAKI,26,2019
JAWA BARAT,KABUPATEN SUBANG,20-24,PEREMPUAN,13,2019
